slurm-3482321.out:Memory: vMem 426404 KB, pMem 158660 KB
slurm-3482322.out:Memory: vMem 426404 KB, pMem 158660 KB
slurm-3482323.out:Memory: vMem 426404 KB, pMem 158660 KB
slurm-3482340.out:Memory: vMem 1764284 KB, pMem 1303348 KB
slurm-3482341.out:Memory: vMem 1764292 KB, pMem 1303332 KB
slurm-3482342.out:Memory: vMem 1764284 KB, pMem 1303376 KB
slurm-3482359.out:Memory: vMem 7654048 KB, pMem 6565396 KB
slurm-3482360.out:Memory: vMem 7658688 KB, pMem 6338524 KB
slurm-3482361.out:Memory: vMem 7660336 KB, pMem 6340104 KB
slurm-3482395.out:Memory: vMem 426412 KB, pMem 158668 KB
slurm-3482396.out:Memory: vMem 426412 KB, pMem 158672 KB
slurm-3482397.out:Memory: vMem 426416 KB, pMem 158676 KB
slurm-3482398.out:Memory: vMem 389552 KB, pMem 121932 KB
slurm-3482399.out:Memory: vMem 389544 KB, pMem 121904 KB
slurm-3482400.out:Memory: vMem 389548 KB, pMem 121936 KB
slurm-3482413.out:Memory: vMem 1764292 KB, pMem 1303360 KB
slurm-3482414.out:Memory: vMem 1764300 KB, pMem 1303352 KB
slurm-3482415.out:Memory: vMem 1764304 KB, pMem 1303364 KB
slurm-3482416.out:Memory: vMem 1417104 KB, pMem 956432 KB
slurm-3482417.out:Memory: vMem 1421596 KB, pMem 960720 KB
slurm-3482418.out:Memory: vMem 1417104 KB, pMem 956408 KB
slurm-3482431.out:Memory: vMem 7658960 KB, pMem 6338792 KB
slurm-3482432.out:Memory: vMem 7654056 KB, pMem 6333976 KB
slurm-3482433.out:Memory: vMem 7654056 KB, pMem 6333976 KB
slurm-3482434.out:Memory: vMem 5936272 KB, pMem 4190252 KB
slurm-3482435.out:Memory: vMem 5936280 KB, pMem 4198864 KB
slurm-3482436.out:Memory: vMem 5936272 KB, pMem 4258224 KB
slurm-3482467.out:Memory: vMem 430936 KB, pMem 163048 KB
slurm-3482468.out:Memory: vMem 430936 KB, pMem 163044 KB
slurm-3482469.out:Memory: vMem 430936 KB, pMem 163024 KB
slurm-3482470.out:Memory: vMem 393936 KB, pMem 126308 KB
