slurm-3482941.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3482942.out:Memory: vMem 284300 KB, pMem 154620 KB
slurm-3482943.out:Memory: vMem 284300 KB, pMem 154620 KB
slurm-3482944.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3482945.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3482946.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3482947.out:Memory: vMem 439960 KB, pMem 207236 KB
slurm-3482948.out:Memory: vMem 439960 KB, pMem 207236 KB
slurm-3482949.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3482950.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3482951.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3482952.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3482953.out:Memory: vMem 1226392 KB, pMem 395916 KB
slurm-3482954.out:Memory: vMem 1226392 KB, pMem 395920 KB
slurm-3482955.out:Memory: vMem 1226392 KB, pMem 395916 KB
slurm-3482956.out:Memory: vMem 2274968 KB, pMem 646624 KB
slurm-3482957.out:Memory: vMem 2274968 KB, pMem 646620 KB
slurm-3482958.out:Memory: vMem 2274968 KB, pMem 646624 KB
slurm-3482959.out:Memory: vMem 1644960 KB, pMem 933060 KB
slurm-3482960.out:Memory: vMem 1644960 KB, pMem 914512 KB
slurm-3482961.out:Memory: vMem 1644960 KB, pMem 929376 KB
slurm-3482962.out:Memory: vMem 1653156 KB, pMem 1030248 KB
slurm-3482963.out:Memory: vMem 1653156 KB, pMem 1030228 KB
slurm-3482964.out:Memory: vMem 1653156 KB, pMem 1030060 KB
slurm-3482965.out:Memory: vMem 1931692 KB, pMem 1042428 KB
slurm-3482966.out:Memory: vMem 1931692 KB, pMem 1041188 KB
slurm-3482967.out:Memory: vMem 1931692 KB, pMem 868788 KB
slurm-3482968.out:Memory: vMem 1931692 KB, pMem 985688 KB
slurm-3482969.out:Memory: vMem 1931692 KB, pMem 904380 KB
slurm-3482970.out:Memory: vMem 1931692 KB, pMem 921224 KB
slurm-3483014.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3483015.out:Memory: vMem 284300 KB, pMem 154628 KB
slurm-3483016.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3483017.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3483018.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3483019.out:Memory: vMem 292496 KB, pMem 173512 KB
slurm-3483020.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483021.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483022.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483023.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3483024.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3483025.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3483026.out:Memory: vMem 1226392 KB, pMem 395916 KB
slurm-3483027.out:Memory: vMem 1226392 KB, pMem 395916 KB
slurm-3483028.out:Memory: vMem 1226392 KB, pMem 395916 KB
slurm-3483029.out:Memory: vMem 2274968 KB, pMem 646624 KB
slurm-3483030.out:Memory: vMem 2274968 KB, pMem 646624 KB
slurm-3483031.out:Memory: vMem 2274968 KB, pMem 646636 KB
slurm-3483032.out:Memory: vMem 1644960 KB, pMem 928988 KB
slurm-3483033.out:Memory: vMem 1644960 KB, pMem 1047624 KB
slurm-3483034.out:Memory: vMem 1644960 KB, pMem 954476 KB
slurm-3483035.out:Memory: vMem 1653156 KB, pMem 1044864 KB
slurm-3483036.out:Memory: vMem 1653156 KB, pMem 913032 KB
slurm-3483037.out:Memory: vMem 1653156 KB, pMem 1029476 KB
slurm-3483038.out:Memory: vMem 1931692 KB, pMem 945232 KB
slurm-3483039.out:Memory: vMem 1931692 KB, pMem 943436 KB
slurm-3483040.out:Memory: vMem 1931692 KB, pMem 1051884 KB
slurm-3483041.out:Memory: vMem 1931692 KB, pMem 980072 KB
slurm-3483042.out:Memory: vMem 1931692 KB, pMem 1058728 KB
slurm-3483043.out:Memory: vMem 1931692 KB, pMem 1058156 KB
slurm-3483108.out:Memory: vMem 1653156 KB, pMem 1028204 KB
slurm-3483109.out:Memory: vMem 1653156 KB, pMem 1016712 KB
slurm-3483110.out:Memory: vMem 1931692 KB, pMem 1022268 KB
slurm-3483111.out:Memory: vMem 1931692 KB, pMem 1028804 KB
slurm-3483112.out:Memory: vMem 1931692 KB, pMem 1051116 KB
slurm-3483113.out:Memory: vMem 1931692 KB, pMem 1036440 KB
slurm-3483114.out:Memory: vMem 1931692 KB, pMem 1063568 KB
slurm-3483115.out:Memory: vMem 1931692 KB, pMem 1025352 KB
slurm-3483158.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3483159.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3483160.out:Memory: vMem 284300 KB, pMem 167524 KB
slurm-3483161.out:Memory: vMem 292496 KB, pMem 173512 KB
slurm-3483162.out:Memory: vMem 292496 KB, pMem 182424 KB
slurm-3483163.out:Memory: vMem 292496 KB, pMem 174684 KB
slurm-3483164.out:Memory: vMem 439960 KB, pMem 207236 KB
slurm-3483165.out:Memory: vMem 439960 KB, pMem 207236 KB
slurm-3483166.out:Memory: vMem 439960 KB, pMem 207268 KB
slurm-3483167.out:Memory: vMem 702104 KB, pMem 270604 KB
slurm-3483168.out:Memory: vMem 702104 KB, pMem 270592 KB
slurm-3483169.out:Memory: vMem 702104 KB, pMem 272320 KB
slurm-3483170.out:Memory: vMem 1226392 KB, pMem 395916 KB
slurm-3483171.out:Memory: vMem 1226392 KB, pMem 400440 KB
slurm-3483172.out:Memory: vMem 1226392 KB, pMem 400448 KB
slurm-3483173.out:Memory: vMem 2274968 KB, pMem 648948 KB
slurm-3483174.out:Memory: vMem 2274968 KB, pMem 648928 KB
slurm-3483175.out:Memory: vMem 2274968 KB, pMem 646640 KB
slurm-3483176.out:Memory: vMem 1644960 KB, pMem 1048820 KB
slurm-3483177.out:Memory: vMem 1644960 KB, pMem 907980 KB
slurm-3483178.out:Memory: vMem 1644960 KB, pMem 992524 KB
slurm-3483179.out:Memory: vMem 1653156 KB, pMem 1045212 KB
slurm-3483180.out:Memory: vMem 1653156 KB, pMem 1049184 KB
slurm-3483181.out:Memory: vMem 1653156 KB, pMem 930432 KB
slurm-3483182.out:Memory: vMem 1931692 KB, pMem 1051504 KB
slurm-3483183.out:Memory: vMem 1931692 KB, pMem 1031956 KB
slurm-3483184.out:Memory: vMem 1931692 KB, pMem 1049408 KB
slurm-3483185.out:Memory: vMem 1931692 KB, pMem 959564 KB
slurm-3483186.out:Memory: vMem 1931692 KB, pMem 1027964 KB
slurm-3483187.out:Memory: vMem 1931692 KB, pMem 1007268 KB
slurm-3483246.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3483247.out:Memory: vMem 284300 KB, pMem 154628 KB
slurm-3483248.out:Memory: vMem 284300 KB, pMem 154620 KB
slurm-3483249.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3483250.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3483251.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3483252.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483253.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483254.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483255.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3483256.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3483257.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3483258.out:Memory: vMem 1226392 KB, pMem 395948 KB
slurm-3483259.out:Memory: vMem 1226392 KB, pMem 395916 KB
slurm-3483260.out:Memory: vMem 1226392 KB, pMem 395916 KB
slurm-3483261.out:Memory: vMem 2274968 KB, pMem 646684 KB
slurm-3483262.out:Memory: vMem 2274968 KB, pMem 646620 KB
slurm-3483263.out:Memory: vMem 2274968 KB, pMem 646656 KB
slurm-3483264.out:Memory: vMem 1644960 KB, pMem 899904 KB
slurm-3483265.out:Memory: vMem 1644960 KB, pMem 961168 KB
slurm-3483266.out:Memory: vMem 1644960 KB, pMem 937384 KB
slurm-3483267.out:Memory: vMem 1653156 KB, pMem 1025032 KB
slurm-3483268.out:Memory: vMem 1653156 KB, pMem 906728 KB
slurm-3483269.out:Memory: vMem 1653156 KB, pMem 1024884 KB
slurm-3483270.out:Memory: vMem 1931692 KB, pMem 898244 KB
slurm-3483271.out:Memory: vMem 1931692 KB, pMem 1050912 KB
slurm-3483272.out:Memory: vMem 1931692 KB, pMem 817720 KB
slurm-3483273.out:Memory: vMem 1931692 KB, pMem 1051132 KB
slurm-3483274.out:Memory: vMem 1931692 KB, pMem 1029432 KB
slurm-3483275.out:Memory: vMem 1931692 KB, pMem 1011876 KB
slurm-3483318.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3483319.out:Memory: vMem 284300 KB, pMem 154628 KB
slurm-3483320.out:Memory: vMem 284300 KB, pMem 154624 KB
slurm-3483321.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3483322.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3483323.out:Memory: vMem 292496 KB, pMem 173508 KB
slurm-3483324.out:Memory: vMem 439960 KB, pMem 207236 KB
slurm-3483325.out:Memory: vMem 439960 KB, pMem 207236 KB
slurm-3483326.out:Memory: vMem 439960 KB, pMem 207232 KB
slurm-3483327.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3483328.out:Memory: vMem 702104 KB, pMem 270588 KB
slurm-3483329.out:Memory: vMem 702104 KB, pMem 270592 KB
slurm-3483330.out:Memory: vMem 1226392 KB, pMem 395920 KB
slurm-3483331.out:Memory: vMem 1226392 KB, pMem 395920 KB
slurm-3483332.out:Memory: vMem 1226392 KB, pMem 395916 KB
slurm-3483333.out:Memory: vMem 2274968 KB, pMem 646620 KB
slurm-3483334.out:Memory: vMem 2274968 KB, pMem 646624 KB
slurm-3483335.out:Memory: vMem 2274968 KB, pMem 646620 KB
slurm-3483336.out:Memory: vMem 1644960 KB, pMem 922544 KB
slurm-3483337.out:Memory: vMem 1644960 KB, pMem 927904 KB
